	Wealth	Return	Fitness	Realised Profit	MDD	NoOfTransactions	NoOfShortSellingTransactions
Run 0	499999.310676	 -0.000138	 -0.000235	 -0.689324	  0.000485	52	0
Run 1	499999.311149	 -0.000138	 -0.000235	 -0.688851	  0.000487	52	0
Run 2	499999.623767	 -0.000075	 -0.000118	 -0.376233	  0.000212	39	0
Run 3	499999.328824	 -0.000134	 -0.000229	 -0.671176	  0.000474	52	0
Run 4	499999.318231	 -0.000136	 -0.000232	 -0.681769	  0.000480	52	0
Run 5	499999.320488	 -0.000136	 -0.000232	 -0.679512	  0.000478	52	0
Run 6	499999.328351	 -0.000134	 -0.000229	 -0.671649	  0.000472	52	0
Run 7	499999.320488	 -0.000136	 -0.000232	 -0.679512	  0.000478	52	0
Run 8	499999.318231	 -0.000136	 -0.000232	 -0.681769	  0.000480	52	0
Run 9	499999.327570	 -0.000134	 -0.000229	 -0.672430	  0.000471	52	0
