Generation	Best	Worst	Average
0	    0.001143	-9999.000000	 -329.967154
1	    0.001379	-9999.000000	 -309.969049
2	    0.001598	-9999.000000	  -39.995888
3	    0.001598	-9999.000000	  -29.996730
4	    0.001598	-9999.000000	   -9.998532
5	    0.001626	-9999.000000	  -29.996264
6	    0.001647	-9999.000000	   -9.998034
7	    0.001712	-9999.000000	  -29.995866
8	    0.001712	-9999.000000	   -9.997730
9	    0.001712	-9999.000000	   -9.997664
10	    0.001754	-9999.000000	  -19.996616
11	    0.001754	-9999.000000	   -9.997589
12	    0.001754	-9999.000000	   -9.997567
13	    0.001772	   -0.007527	    0.001451
14	    0.001806	-9999.000000	  -29.995515
15	    0.001806	-9999.000000	  -19.996500
16	    0.001806	-9999.000000	   -9.997476
17	    0.001845	-9999.000000	   -9.997470
18	    0.001848	-9999.000000	  -29.995440
19	    0.001853	-9999.000000	  -39.994405
20	    0.001893	-9999.000000	  -29.995397
21	    0.001893	-9999.000000	   -9.997378
22	    0.001893	   -0.002467	    0.001632
23	    0.001910	-9999.000000	  -29.995341
24	    0.001910	-9999.000000	   -9.997336
25	    0.001910	   -0.002740	    0.001683
26	    0.001910	-9999.000000	  -39.994303
27	    0.001918	-9999.000000	  -39.994292
28	    0.001918	   -0.004448	    0.001712
29	    0.001918	-9999.000000	  -29.995295
30	    0.001918	-9999.000000	  -19.996271
31	    0.001935	-9999.000000	   -9.997288
32	    0.001935	   -0.002800	    0.001680
33	    0.001935	   -0.002682	    0.001726
34	    0.001954	-9999.000000	   -9.997285
Generation	Best	Worst	Average
0	    0.001052	-9999.000000	 -339.966147
1	    0.001560	-9999.000000	 -169.983075
2	    0.001615	-9999.000000	  -39.995938
3	    0.001615	-9999.000000	  -29.996720
4	    0.001618	-9999.000000	  -29.996504
5	    0.001650	-9999.000000	   -9.998236
6	    0.001650	-9999.000000	  -29.996010
7	    0.001683	-9999.000000	   -9.997855
8	    0.001683	-9999.000000	  -19.996765
9	    0.001683	   -0.002132	    0.001325
10	    0.001737	   -0.001730	    0.001347
11	    0.001737	-9999.000000	   -9.997622
12	    0.001741	   -0.001872	    0.001373
13	    0.001751	-9999.000000	  -19.996603
14	    0.001759	   -0.002658	    0.001421
15	    0.001759	   -0.002058	    0.001443
16	    0.001766	-9999.000000	   -9.997563
17	    0.001808	-9999.000000	   -9.997542
18	    0.001808	-9999.000000	   -9.997508
19	    0.001808	   -0.003744	    0.001456
20	    0.001808	   -0.002029	    0.001510
21	    0.001808	   -0.002495	    0.001501
22	    0.001808	-9999.000000	   -9.997475
23	    0.001860	   -0.002679	    0.001535
24	    0.001893	   -0.002566	    0.001560
25	    0.001952	-9999.000000	   -9.997411
26	    0.001952	   -0.004644	    0.001601
27	    0.002000	-9999.000000	   -9.997391
28	    0.002000	   -0.002750	    0.001633
29	    0.002000	-9999.000000	  -29.995405
30	    0.002000	-9999.000000	  -29.995362
31	    0.002000	   -0.002817	    0.001634
32	    0.002043	-9999.000000	  -19.996363
33	    0.002043	-9999.000000	  -19.996351
34	    0.002043	-9999.000000	  -29.995344
Generation	Best	Worst	Average
0	    0.001100	-9999.000000	 -349.965192
