run	wealth	return	value	profit	mdd	transactions	short transactions
0	499997.447118	 -0.000511	 -0.000618	 -2.552882	  0.000540	31	0
1	499999.634408	 -0.000073	 -0.000105	 -0.365592	  0.000157	23	0
2	499999.137029	 -0.000173	 -0.000231	 -0.862971	  0.000291	16	0
3	499999.555864	 -0.000089	 -0.000127	 -0.444136	  0.000191	23	0
4	499999.465717	 -0.000107	 -0.000151	 -0.534283	  0.000223	30	0
5	499997.937812	 -0.000412	 -0.000553	 -2.062188	  0.000704	24	0
6	499999.962541	 -0.000007	 -0.000009	 -0.037459	  0.000009	6	0
7	500000.016630	  0.000003	 -0.000014	  0.016630	  0.000087	6	0
8	499999.194272	 -0.000161	 -0.000196	 -0.805728	  0.000174	4	0
9	499999.692713	 -0.000061	 -0.000099	 -0.307287	  0.000186	27	0
