run	wealth	return	value	profit	mdd	transactions	short transactions
0	500002.388915	  0.000478	  0.000373	  2.388915	  0.000524	56	0
1	500000.839938	  0.000168	  0.000065	  0.839938	  0.000517	50	0
2	500002.398027	  0.000480	  0.000374	  2.398027	  0.000526	56	0
3	500003.546718	  0.000709	  0.000469	  3.546718	  0.001204	58	0
4	500003.229503	  0.000646	  0.000505	  3.229503	  0.000704	49	0
5	500003.221574	  0.000644	  0.000500	  3.221574	  0.000723	11	0
6	500005.283934	  0.001057	  0.000742	  5.283934	  0.001576	29	0
7	500004.896155	  0.000979	  0.000802	  4.896155	  0.000887	34	0
8	500002.758151	  0.000552	  0.000441	  2.758151	  0.000555	48	0
9	500003.270955	  0.000654	  0.000499	  3.270955	  0.000778	55	0
