run	wealth	return	value	profit	mdd	transactions	short transactions
0	500000.279067	  0.000056	  0.000046	  0.279067	  0.000047	4	0
1	500005.182340	  0.001036	  0.000863	  5.182340	  0.000866	97	0
2	500000.376455	  0.000075	  0.000065	  0.376455	  0.000052	11	0
3	500000.239195	  0.000048	  0.000042	  0.239195	  0.000027	61	0
4	500000.225749	  0.000045	  0.000029	  0.225749	  0.000082	15	0
5	500002.155659	  0.000431	  0.000302	  2.155659	  0.000646	15	0
6	500000.477281	  0.000095	  0.000088	  0.477281	  0.000037	43	0
7	500001.785019	  0.000357	  0.000285	  1.785019	  0.000359	90	0
8	500000.191584	  0.000038	  0.000024	  0.191584	  0.000071	14	0
9	500000.027739	  0.000006	  0.000003	  0.027739	  0.000012	5	0
