	Wealth	Return	Fitness	Realised Profit	MDD	NoOfTransactions	NoOfShortSellingTransactions
Run 0	499994.211375	 -0.001158	 -0.001446	 -5.788625	  0.001443	25	0
Run 1	499996.855004	 -0.000629	 -0.000813	 -3.144996	  0.000921	55	0
Run 2	499991.768458	 -0.001646	 -0.002048	 -8.231542	  0.002010	43	0
Run 3	499993.477282	 -0.001305	 -0.001592	 -6.522718	  0.001438	58	0
Run 4	499986.696473	 -0.002661	 -0.003332	-13.303527	  0.003357	19	0
Run 5	499992.749170	 -0.001450	 -0.001773	 -7.250830	  0.001614	60	0
Run 6	499994.589578	 -0.001082	 -0.001334	 -5.410422	  0.001262	33	0
Run 7	499995.201161	 -0.000960	 -0.001204	 -4.798839	  0.001220	42	0
Run 8	499996.656916	 -0.000669	 -0.000850	 -3.343084	  0.000909	9	0
Run 9	499988.333484	 -0.002333	 -0.002915	-11.666516	  0.002908	59	0
