run	wealth	return	value	profit	mdd	transactions	short transactions
0	499999.808945	 -0.000038	 -0.000099	 -0.191055	  0.000302	35	0
1	499999.963546	 -0.000007	 -0.000065	 -0.036454	  0.000288	42	0
2	499999.560496	 -0.000088	 -0.000189	 -0.439504	  0.000504	46	0
3	500001.252904	  0.000251	  0.000231	  1.252904	  0.000098	71	0
4	500000.229223	  0.000046	  0.000040	  0.229223	  0.000028	20	0
5	500000.771730	  0.000154	  0.000139	  0.771730	  0.000076	91	0
6	500001.060359	  0.000212	  0.000192	  1.060359	  0.000101	83	0
7	500000.111163	  0.000022	  0.000020	  0.111163	  0.000012	11	0
8	499999.721888	 -0.000056	 -0.000100	 -0.278112	  0.000223	35	0
9	500000.906514	  0.000181	  0.000138	  0.906514	  0.000215	71	0
