	Wealth	Return	Fitness	Realised Profit	MDD	NoOfTransactions	NoOfShortSellingTransactions
Run 0	499998.417175	 -0.000317	 -0.000403	 -1.582825	  0.000434	16	0
Run 1	500000.000000	  0.000000	  0.000000	  0.000000	  0.000000	0	0
Run 2	500000.000000	  0.000000	  0.000000	  0.000000	  0.000000	0	0
Run 3	500000.000000	  0.000000	  0.000000	  0.000000	  0.000000	0	0
Run 4	499999.521096	 -0.000096	 -0.000123	 -0.478904	  0.000136	3	0
Run 5	500000.000000	  0.000000	  0.000000	  0.000000	  0.000000	0	0
Run 6	499999.149312	 -0.000170	 -0.000218	 -0.850688	  0.000240	5	0
Run 7	500000.046166	  0.000009	  0.000006	  0.046166	  0.000017	4	0
Run 8	499999.315584	 -0.000137	 -0.000172	 -0.684416	  0.000175	3	0
Run 9	499998.113498	 -0.000377	 -0.000492	 -1.886502	  0.000572	10	0
