Generation	Best	Worst	Average
0	    0.000155	-9999.000000	 -359.964589
1	    0.000155	-9999.000000	 -489.951345
2	    0.000262	-9999.000000	 -159.984284
3	    0.000727	-9999.000000	 -309.969238
4	    0.000727	-9999.000000	 -139.986211
5	    0.000727	-9999.000000	 -129.987163
6	    0.000727	-9999.000000	 -139.986125
7	    0.000727	-9999.000000	  -59.994101
8	    0.000727	-9999.000000	  -39.996089
9	    0.000727	-9999.000000	  -39.996064
10	    0.000727	-9999.000000	   -9.999067
11	    0.000727	-9999.000000	  -49.995058
12	    0.000727	-9999.000000	  -39.996051
13	    0.000727	-9999.000000	   -9.999042
14	    0.000727	-9999.000000	  -19.998015
15	    0.000727	-9999.000000	   -9.998994
16	    0.000727	-9999.000000	   -9.998972
17	    0.000727	-9999.000000	   -9.998943
18	    0.000727	   -0.003133	    0.000087
19	    0.000727	-9999.000000	   -9.998888
20	    0.000727	-9999.000000	   -9.998889
21	    0.000727	-9999.000000	  -29.996865
22	    0.000727	-9999.000000	   -9.998866
23	    0.000727	   -0.002389	    0.000156
24	    0.000727	   -0.003487	    0.000151
25	    0.000727	   -0.002878	    0.000156
26	    0.000727	-9999.000000	   -9.998833
27	    0.000727	-9999.000000	   -9.998844
28	    0.000727	   -0.002919	    0.000151
29	    0.000727	   -0.003694	    0.000164
30	    0.000727	-9999.000000	   -9.998835
31	    0.000727	   -0.003238	    0.000158
32	    0.000727	   -0.002644	    0.000180
33	    0.000727	   -0.002178	    0.000200
34	    0.000727	-9999.000000	   -9.998815
Generation	Best	Worst	Average
0	    0.000391	-9999.000000	 -409.959591
1	    0.000391	-9999.000000	 -289.971372
2	    0.000391	-9999.000000	 -259.974315
3	    0.000391	-9999.000000	 -179.982276
4	    0.000391	-9999.000000	 -119.988209
5	    0.000391	-9999.000000	 -109.989180
6	    0.000391	-9999.000000	 -119.988111
7	    0.000391	-9999.000000	  -19.998091
8	    0.000391	-9999.000000	  -59.994121
9	    0.000391	-9999.000000	  -29.997064
10	    0.000391	-9999.000000	   -9.999076
11	    0.000391	-9999.000000	   -9.999064
12	    0.000391	   -0.003166	   -0.000061
13	    0.000391	-9999.000000	   -9.999053
14	    0.000391	-9999.000000	  -19.998042
15	    0.000391	   -0.003235	   -0.000060
16	    0.000391	-9999.000000	  -29.997030
17	    0.000391	-9999.000000	  -29.997033
18	    0.000391	-9999.000000	  -29.997041
19	    0.000391	   -0.003215	   -0.000012
20	    0.000391	-9999.000000	   -9.999010
21	    0.000391	-9999.000000	  -19.997978
22	    0.000391	-9999.000000	   -9.998926
23	    0.000391	   -0.002892	    0.000107
24	    0.000391	-9999.000000	   -9.998875
25	    0.000391	   -0.002898	    0.000136
26	    0.000391	   -0.003495	    0.000144
27	    0.000391	-9999.000000	  -19.997852
28	    0.000391	-9999.000000	   -9.998851
29	    0.000391	   -0.003140	    0.000172
30	    0.000391	-9999.000000	   -9.998820
31	    0.000391	   -0.002804	    0.000164
32	    0.000391	-9999.000000	   -9.998824
33	    0.000391	   -0.002808	    0.000175
34	    0.000391	   -0.002921	    0.000196
Generation	Best	Worst	Average
0	    0.000298	-9999.000000	 -339.966622
1	    0.000298	-9999.000000	 -309.969361
2	    0.000348	-9999.000000	 -269.973329
3	    0.000348	-9999.000000	 -229.977297
4	    0.000348	-9999.000000	 -229.977221
5	    0.000348	-9999.000000	 -149.985214
6	    0.000348	-9999.000000	 -119.988186
7	    0.000348	-9999.000000	 -139.986149
8	    0.000348	-9999.000000	 -109.989127
9	    0.000348	-9999.000000	  -69.993096
10	    0.000402	-9999.000000	  -49.995068
11	    0.000402	-9999.000000	  -19.998063
12	    0.000402	-9999.000000	  -29.997069
13	    0.000402	-9999.000000	  -19.998075
14	    0.000402	-9999.000000	  -19.998053
15	    0.000402	-9999.000000	  -29.997043
16	    0.000402	-9999.000000	   -9.999056
17	    0.000402	-9999.000000	   -9.999054
18	    0.000402	   -0.003765	   -0.000059
19	    0.000402	-9999.000000	  -19.998052
20	    0.000402	-9999.000000	  -39.996061
21	    0.000402	-9999.000000	   -9.999025
22	    0.000402	-9999.000000	   -9.999034
23	    0.000402	-9999.000000	   -9.999005
24	    0.000402	-9999.000000	  -19.998004
25	    0.000402	-9999.000000	  -19.997959
26	    0.000402	   -0.002126	    0.000072
27	    0.000402	-9999.000000	  -29.996897
28	    0.000402	-9999.000000	  -19.997919
29	    0.000402	-9999.000000	   -9.998901
30	    0.000402	   -0.002471	    0.000141
31	    0.000402	   -0.003501	    0.000162
32	    0.000402	   -0.002732	    0.000180
33	    0.000402	   -0.002988	    0.000170
34	    0.000402	   -0.002543	    0.000191
Generation	Best	Worst	Average
0	    0.000144	-9999.000000	 -389.961609
1	    0.000252	-9999.000000	 -189.981373
2	    0.000252	-9999.000000	 -289.971304
3	    0.000252	-9999.000000	 -279.972263
4	    0.000252	-9999.000000	 -189.981218
5	    0.000252	-9999.000000	  -89.991194
6	    0.000252	-9999.000000	 -159.984135
7	    0.000279	-9999.000000	  -79.992131
8	    0.000279	-9999.000000	  -59.994087
9	    0.000279	-9999.000000	   -9.999061
10	    0.000279	-9999.000000	  -19.998073
11	    0.000279	-9999.000000	  -19.998064
12	    0.000279	-9999.000000	   -9.999048
13	    0.000279	-9999.000000	   -9.999051
14	    0.000279	-9999.000000	  -19.998046
15	    0.000279	-9999.000000	   -9.999049
16	    0.000279	-9999.000000	  -19.998029
17	    0.000279	-9999.000000	   -9.999018
18	    0.000279	   -0.002737	   -0.000005
19	    0.000279	   -0.003727	   -0.000025
20	    0.000279	-9999.000000	  -29.996988
21	    0.000279	-9999.000000	  -29.996955
22	    0.000279	   -0.002235	    0.000062
23	    0.000279	   -0.002442	    0.000060
24	    0.000279	-9999.000000	  -19.997936
25	    0.000279	   -0.002572	    0.000104
26	    0.000342	   -0.003038	    0.000131
27	    0.000342	-9999.000000	   -9.998851
28	    0.000342	-9999.000000	  -19.997833
29	    0.000342	-9999.000000	  -19.997831
30	    0.000342	-9999.000000	   -9.998839
31	    0.000342	   -0.002559	    0.000174
32	    0.000342	   -0.002055	    0.000193
33	    0.000342	   -0.001895	    0.000190
34	    0.000342	   -0.002180	    0.000195
Generation	Best	Worst	Average
0	    0.000193	-9999.000000	 -449.955545
1	    0.000193	-9999.000000	 -349.965352
2	    0.000193	-9999.000000	 -219.978327
3	    0.000197	-9999.000000	 -209.979322
4	    0.000294	-9999.000000	 -239.976271
5	    0.000294	-9999.000000	 -199.980268
6	    0.000308	-9999.000000	 -119.988224
7	    0.000308	-9999.000000	 -189.981195
8	    0.000308	-9999.000000	 -239.976174
9	    0.000308	-9999.000000	 -189.981134
10	    0.000308	-9999.000000	 -199.980125
11	    0.000308	-9999.000000	 -129.987114
12	    0.000308	-9999.000000	 -139.986094
13	    0.000308	-9999.000000	 -129.987108
14	    0.000308	-9999.000000	 -159.984082
15	    0.000308	-9999.000000	  -69.993074
16	    0.000308	-9999.000000	  -39.996059
17	    0.000308	-9999.000000	   -9.999062
18	    0.000308	-9999.000000	   -9.999079
19	    0.000308	-9999.000000	  -19.998050
20	    0.000308	-9999.000000	  -19.998026
21	    0.000311	-9999.000000	  -19.998003
22	    0.000311	-9999.000000	   -9.998970
23	    0.000311	-9999.000000	  -29.996961
24	    0.000311	   -0.003105	    0.000066
25	    0.000311	-9999.000000	   -9.998921
26	    0.000311	-9999.000000	   -9.998884
27	    0.000311	   -0.002025	    0.000132
28	    0.000311	   -0.002656	    0.000143
29	    0.000311	-9999.000000	   -9.998859
30	    0.000311	   -0.001597	    0.000177
31	    0.000311	-9999.000000	   -9.998818
32	    0.000311	   -0.000921	    0.000185
33	    0.000311	   -0.000771	    0.000199
34	    0.000311	   -0.002661	    0.000196
Generation	Best	Worst	Average
0	    0.000241	-9999.000000	 -379.962574
1	    0.000296	-9999.000000	 -299.970399
2	    0.000312	-9999.000000	 -219.978380
3	    0.000312	-9999.000000	 -179.982263
4	    0.000312	-9999.000000	 -259.974213
5	    0.000312	-9999.000000	 -209.979206
6	    0.000312	-9999.000000	 -139.986161
7	    0.000312	-9999.000000	  -59.994143
8	    0.000312	-9999.000000	 -119.988100
9	    0.000312	-9999.000000	  -29.997071
10	    0.000312	-9999.000000	  -19.998059
11	    0.000312	-9999.000000	  -29.997050
12	    0.000312	-9999.000000	  -19.998030
13	    0.000312	-9999.000000	  -29.997028
14	    0.000312	-9999.000000	  -19.998024
15	    0.000312	-9999.000000	  -19.998020
16	    0.000312	-9999.000000	  -29.997013
17	    0.000312	-9999.000000	  -19.997994
18	    0.000312	-9999.000000	  -29.996965
19	    0.000312	-9999.000000	  -19.997944
20	    0.000312	-9999.000000	  -19.997937
21	    0.000312	   -0.002572	    0.000091
22	    0.000312	   -0.003090	    0.000123
23	    0.000312	-9999.000000	  -19.997862
24	    0.000312	   -0.002574	    0.000133
25	    0.000312	-9999.000000	   -9.998850
26	    0.000312	-9999.000000	  -19.997838
27	    0.000312	   -0.003215	    0.000159
28	    0.000312	-9999.000000	  -19.997824
29	    0.000387	   -0.002599	    0.000144
30	    0.000387	-9999.000000	  -19.997838
31	    0.000387	   -0.002766	    0.000174
32	    0.000387	-9999.000000	   -9.998806
33	    0.000387	-9999.000000	   -9.998816
34	    0.000387	   -0.002116	    0.000196
Generation	Best	Worst	Average
0	    0.000440	-9999.000000	 -409.959600
1	    0.000440	-9999.000000	 -269.973349
2	    0.000440	-9999.000000	 -389.961269
3	    0.000440	-9999.000000	 -299.970292
4	    0.000440	-9999.000000	 -169.983278
5	    0.000440	-9999.000000	 -229.977231
6	    0.000440	-9999.000000	 -109.989172
7	    0.000440	-9999.000000	 -179.982153
8	    0.000440	-9999.000000	  -89.991130
9	    0.000440	-9999.000000	 -119.988108
10	    0.000440	-9999.000000	  -89.991123
11	    0.000440	-9999.000000	  -39.996078
12	    0.000440	-9999.000000	  -49.995067
13	    0.000440	-9999.000000	  -19.998065
14	    0.000440	-9999.000000	   -9.999059
15	    0.000440	-9999.000000	  -19.998020
16	    0.000440	-9999.000000	  -49.994985
17	    0.000440	   -0.003145	    0.000058
