	Wealth	Return	Fitness	Realised Profit	MDD	NoOfTransactions	NoOfShortSellingTransactions
Run 0	499995.765692	 -0.000847	 -0.001133	 -4.234308	  0.001430	73	0
Run 1	499995.754928	 -0.000849	 -0.001136	 -4.245072	  0.001435	74	0
Run 2	499995.807825	 -0.000838	 -0.001122	 -4.192175	  0.001418	72	0
Run 3	499995.765692	 -0.000847	 -0.001133	 -4.234308	  0.001430	73	0
Run 4	499995.807825	 -0.000838	 -0.001122	 -4.192175	  0.001418	72	0
Run 5	499995.765692	 -0.000847	 -0.001133	 -4.234308	  0.001430	73	0
Run 6	499995.765692	 -0.000847	 -0.001133	 -4.234308	  0.001430	73	0
Run 7	499995.828199	 -0.000834	 -0.001117	 -4.171801	  0.001412	73	0
Run 8	499996.390806	 -0.000722	 -0.000988	 -3.609194	  0.001331	76	0
Run 9	499995.754928	 -0.000849	 -0.001136	 -4.245072	  0.001435	74	0
