run	wealth	return	value	profit	mdd	transactions	short transactions
0	499999.567563	 -0.000086	 -0.000402	 -0.432437	  0.001578	114	0
1	499996.953938	 -0.000609	 -0.000982	 -3.046062	  0.001863	30	0
2	499996.956929	 -0.000609	 -0.000862	 -3.043071	  0.001265	194	0
3	499999.431635	 -0.000114	 -0.000539	 -0.568365	  0.002125	97	0
4	500000.709262	  0.000142	 -0.000016	  0.709262	  0.000788	77	0
5	499995.186442	 -0.000963	 -0.001848	 -4.813558	  0.004426	108	0
6	499997.771965	 -0.000446	 -0.001037	 -2.228035	  0.002958	41	0
7	499999.925206	 -0.000015	 -0.000516	 -0.074794	  0.002505	93	0
8	500000.563040	  0.000113	 -0.000029	  0.563040	  0.000709	21	0
9	499999.835922	 -0.000033	 -0.000075	 -0.164078	  0.000213	137	0
