run	wealth	return	value	profit	mdd	transactions	short transactions
0	499998.550540	 -0.000290	 -0.000420	 -1.449460	  0.000649	19	0
1	499999.308182	 -0.000138	 -0.000190	 -0.691818	  0.000260	43	0
2	499997.425763	 -0.000515	 -0.000657	 -2.574237	  0.000711	21	0
3	499999.933177	 -0.000013	 -0.000017	 -0.066823	  0.000016	2	0
4	499999.976626	 -0.000005	 -0.000010	 -0.023374	  0.000026	10	0
5	500000.004924	  0.000001	 -0.000006	  0.004924	  0.000036	1	0
6	500000.000000	  0.000000	  0.000000	  0.000000	  0.000000	0	0
7	499999.847515	 -0.000030	 -0.000044	 -0.152485	  0.000069	26	0
8	499999.428976	 -0.000114	 -0.000150	 -0.571024	  0.000177	11	0
9	499999.990376	 -0.000002	 -0.000003	 -0.009624	  0.000004	4	0
