	Wealth	Return	Fitness	Realised Profit	MDD	NoOfTransactions	NoOfShortSellingTransactions
Run 0	499998.558700	 -0.000288	 -0.000570	 -1.441300	  0.001411	54	0
Run 1	500000.567126	  0.000113	 -0.000105	  0.567126	  0.001093	20	0
Run 2	499999.035768	 -0.000193	 -0.000415	 -0.964232	  0.001108	69	0
Run 3	499998.275298	 -0.000345	 -0.000525	 -1.724702	  0.000902	55	0
Run 4	500000.975338	  0.000195	  0.000014	  0.975338	  0.000905	22	0
Run 5	500000.793352	  0.000159	  0.000011	  0.793352	  0.000737	22	0
Run 6	500001.631433	  0.000326	  0.000088	  1.631433	  0.001192	26	0
Run 7	500004.232837	  0.000847	  0.000598	  4.232837	  0.001244	28	0
Run 8	500000.966190	  0.000193	  0.000014	  0.966190	  0.000896	22	0
Run 9	499998.313330	 -0.000337	 -0.000555	 -1.686670	  0.001088	60	0
