Generation	Best	Worst	Average
0	    0.000055	-9999.000000	 -149.985658
1	    0.000117	-9999.000000	 -139.986253
2	    0.000146	-9999.000000	  -89.991182
3	    0.000152	-9999.000000	  -19.998153
4	    0.000152	-9999.000000	  -49.995114
5	    0.000152	-9999.000000	  -19.998084
6	    0.000161	   -0.006753	   -0.000069
7	    0.000165	   -0.006579	   -0.000041
8	    0.000165	   -0.002020	   -0.000026
9	    0.000165	-9999.000000	   -9.999030
10	    0.000165	-9999.000000	  -19.998026
11	    0.000172	-9999.000000	   -9.999037
12	    0.000172	   -0.003581	   -0.000032
13	    0.000172	-9999.000000	   -9.999016
14	    0.000182	-9999.000000	   -9.999001
15	    0.000204	-9999.000000	   -9.998952
16	    0.000204	   -0.002485	    0.000085
17	    0.000282	   -0.008977	    0.000093
18	    0.000282	   -0.001174	    0.000122
19	    0.000282	   -0.002172	    0.000126
20	    0.000282	   -0.002698	    0.000133
21	    0.000282	   -0.007772	    0.000154
22	    0.000282	   -0.002422	    0.000166
23	    0.000282	   -0.006384	    0.000181
24	    0.000282	   -0.005989	    0.000192
25	    0.000282	   -0.002115	    0.000214
26	    0.000282	   -0.006999	    0.000187
27	    0.000282	   -0.007242	    0.000193
28	    0.000282	   -0.003600	    0.000226
29	    0.000282	-9999.000000	   -9.998773
30	    0.000282	   -0.001497	    0.000244
31	    0.000287	   -0.005316	    0.000240
32	    0.000287	-9999.000000	   -9.998785
33	    0.000290	   -0.005540	    0.000237
34	    0.000290	   -0.003578	    0.000243
Generation	Best	Worst	Average
0	    0.000123	-9999.000000	 -129.987541
1	    0.000191	-9999.000000	 -129.987324
2	    0.000191	-9999.000000	  -99.990252
3	    0.000191	-9999.000000	  -19.998186
4	    0.000191	-9999.000000	  -59.994130
5	    0.000191	   -0.005537	   -0.000074
6	    0.000191	-9999.000000	  -49.995042
7	    0.000193	-9999.000000	  -19.998033
8	    0.000193	-9999.000000	   -9.999052
9	    0.000193	-9999.000000	  -19.998058
10	    0.000193	-9999.000000	  -19.998054
11	    0.000193	   -0.006679	   -0.000046
12	    0.000193	-9999.000000	  -19.998045
13	    0.000215	-9999.000000	   -9.999054
14	    0.000215	-9999.000000	   -9.998992
15	    0.000215	-9999.000000	   -9.998955
16	    0.000215	   -0.008578	    0.000090
17	    0.000216	   -0.007046	    0.000110
18	    0.000233	   -0.003682	    0.000127
19	    0.000233	-9999.000000	   -9.998853
20	    0.000233	   -0.002506	    0.000139
21	    0.000240	   -0.002584	    0.000154
22	    0.000240	   -0.003950	    0.000161
23	    0.000273	   -0.006214	    0.000163
24	    0.000273	-9999.000000	   -9.998829
25	    0.000273	   -0.004531	    0.000169
26	    0.000273	   -0.003150	    0.000175
27	    0.000273	-9999.000000	   -9.998830
28	    0.000273	   -0.004696	    0.000173
29	    0.000273	   -0.005694	    0.000165
30	    0.000273	-9999.000000	   -9.998817
31	    0.000273	   -0.002644	    0.000191
32	    0.000273	   -0.003295	    0.000190
33	    0.000273	   -0.008865	    0.000184
34	    0.000273	   -0.002947	    0.000196
Generation	Best	Worst	Average
0	    0.000076	-9999.000000	 -179.982531
1	    0.000170	-9999.000000	 -139.986281
2	    0.000170	-9999.000000	  -89.991207
3	    0.000170	-9999.000000	 -119.988141
4	    0.000170	-9999.000000	  -29.997086
5	    0.000170	-9999.000000	  -49.995078
6	    0.000170	-9999.000000	  -19.998061
7	    0.000170	-9999.000000	   -9.999040
8	    0.000170	-9999.000000	  -19.998018
9	    0.000170	-9999.000000	  -29.997030
10	    0.000170	   -0.005064	   -0.000026
11	    0.000170	-9999.000000	   -9.999019
12	    0.000196	-9999.000000	   -9.999012
13	    0.000276	   -0.005480	   -0.000003
14	    0.000276	   -0.003531	    0.000045
15	    0.000276	   -0.004799	    0.000087
16	    0.000276	   -0.002369	    0.000105
17	    0.000276	-9999.000000	  -29.996869
18	    0.000276	   -0.002828	    0.000143
19	    0.000276	   -0.007335	    0.000151
20	    0.000276	-9999.000000	   -9.998826
21	    0.000276	   -0.002082	    0.000199
22	    0.000276	   -0.002588	    0.000209
23	    0.000276	   -0.002398	    0.000208
24	    0.000283	   -0.003569	    0.000229
25	    0.000283	-9999.000000	   -9.998776
26	    0.000283	-9999.000000	   -9.998790
27	    0.000283	   -0.003131	    0.000229
28	    0.000283	   -0.003058	    0.000224
29	    0.000283	   -0.003826	    0.000228
30	    0.000283	   -0.005977	    0.000230
31	    0.000283	   -0.007305	    0.000225
32	    0.000283	   -0.008903	    0.000227
33	    0.000288	   -0.010314	    0.000224
34	    0.000288	   -0.003290	    0.000244
Generation	Best	Worst	Average
0	    0.000118	-9999.000000	 -129.987594
1	    0.000118	-9999.000000	 -139.986286
2	    0.000168	-9999.000000	  -99.990197
3	    0.000168	-9999.000000	  -29.997145
4	    0.000168	-9999.000000	   -9.999087
5	    0.000168	-9999.000000	  -19.998070
6	    0.000168	-9999.000000	  -19.998036
7	    0.000168	-9999.000000	   -9.999035
8	    0.000168	   -0.011174	   -0.000042
9	    0.000168	   -0.002369	   -0.000029
10	    0.000168	-9999.000000	  -19.998027
11	    0.000168	   -0.007446	   -0.000033
12	    0.000168	-9999.000000	  -19.998016
13	    0.000168	-9999.000000	   -9.999023
14	    0.000217	   -0.002089	   -0.000007
15	    0.000217	   -0.008969	   -0.000012
16	    0.000229	   -0.003583	    0.000027
17	    0.000229	   -0.005872	    0.000080
18	    0.000229	   -0.002824	    0.000112
19	    0.000229	   -0.002016	    0.000124
20	    0.000229	   -0.002587	    0.000133
21	    0.000229	   -0.006425	    0.000144
22	    0.000229	   -0.004900	    0.000147
23	    0.000229	   -0.005592	    0.000144
24	    0.000229	-9999.000000	   -9.998844
25	    0.000229	   -0.003023	    0.000168
26	    0.000229	-9999.000000	   -9.998832
27	    0.000229	-9999.000000	   -9.998819
28	    0.000246	   -0.002972	    0.000180
29	    0.000246	   -0.007274	    0.000169
30	    0.000285	   -0.002044	    0.000194
31	    0.000285	-9999.000000	   -9.998811
32	    0.000285	   -0.005836	    0.000182
33	    0.000285	   -0.001406	    0.000195
34	    0.000285	   -0.002698	    0.000200
Generation	Best	Worst	Average
0	    0.000100	-9999.000000	 -119.988627
1	    0.000137	-9999.000000	 -159.984270
2	    0.000159	-9999.000000	  -79.992183
3	    0.000159	-9999.000000	 -119.988137
4	    0.000159	-9999.000000	  -29.997119
5	    0.000159	-9999.000000	  -19.998061
6	    0.000159	-9999.000000	   -9.999031
7	    0.000159	   -0.004369	   -0.000039
8	    0.000159	   -0.007100	   -0.000037
9	    0.000159	-9999.000000	   -9.999038
10	    0.000159	-9999.000000	   -9.999031
11	    0.000159	   -0.003759	   -0.000031
12	    0.000159	-9999.000000	  -29.997030
13	    0.000159	   -0.005048	   -0.000022
14	    0.000159	   -0.005148	   -0.000035
15	    0.000159	-9999.000000	   -9.999047
16	    0.000159	   -0.004297	   -0.000025
17	    0.000159	-9999.000000	   -9.999017
18	    0.000159	   -0.003964	   -0.000021
19	    0.000159	-9999.000000	   -9.999018
20	    0.000229	   -0.007974	   -0.000030
21	    0.000229	-9999.000000	   -9.999016
22	    0.000229	   -0.003200	   -0.000023
23	    0.000229	-9999.000000	   -9.999034
24	    0.000229	-9999.000000	   -9.999024
25	    0.000229	-9999.000000	   -9.999020
26	    0.000229	-9999.000000	   -9.999029
27	    0.000229	   -0.005795	   -0.000034
28	    0.000229	   -0.005598	   -0.000026
29	    0.000229	   -0.007106	   -0.000025
30	    0.000229	   -0.004743	   -0.000023
31	    0.000229	   -0.004504	   -0.000029
32	    0.000229	   -0.006021	   -0.000017
33	    0.000229	   -0.010117	   -0.000021
34	    0.000229	   -0.002618	   -0.000007
Generation	Best	Worst	Average
0	    0.000140	-9999.000000	  -69.993647
1	    0.000140	-9999.000000	  -89.991263
2	    0.000167	-9999.000000	  -99.990215
3	    0.000167	-9999.000000	  -29.997109
4	    0.000167	   -0.004750	   -0.000073
5	    0.000234	   -0.005828	   -0.000054
6	    0.000234	-9999.000000	  -19.998039
7	    0.000234	-9999.000000	   -9.999005
8	    0.000234	   -0.004395	   -0.000027
9	    0.000248	-9999.000000	  -19.997982
10	    0.000248	-9999.000000	   -9.998928
11	    0.000248	   -0.002627	    0.000121
12	    0.000248	   -0.002743	    0.000130
13	    0.000248	   -0.002765	    0.000145
14	    0.000265	-9999.000000	  -19.997846
15	    0.000267	   -0.008103	    0.000160
16	    0.000267	   -0.002025	    0.000184
17	    0.000273	   -0.002878	    0.000183
18	    0.000273	   -0.002155	    0.000196
19	    0.000273	   -0.002929	    0.000210
20	    0.000273	   -0.003774	    0.000203
21	    0.000273	   -0.011170	    0.000202
22	    0.000273	-9999.000000	   -9.998797
23	    0.000273	   -0.003474	    0.000223
24	    0.000273	   -0.010953	    0.000210
25	    0.000280	   -0.003448	    0.000222
26	    0.000280	-9999.000000	   -9.998783
27	    0.000280	   -0.006048	    0.000230
28	    0.000280	   -0.003979	    0.000221
29	    0.000280	   -0.001885	    0.000228
30	    0.000280	   -0.004371	    0.000229
31	    0.000280	   -0.004021	    0.000219
32	    0.000280	   -0.004309	    0.000218
33	    0.000280	   -0.009679	    0.000229
34	    0.000280	   -0.004818	    0.000243
Generation	Best	Worst	Average
0	    0.000209	-9999.000000	 -189.981671
1	    0.000209	-9999.000000	 -109.989271
2	    0.000248	-9999.000000	  -79.992181
3	    0.000248	-9999.000000	 -109.989136
4	    0.000250	-9999.000000	  -49.995096
5	    0.000257	-9999.000000	  -39.996080
6	    0.000257	-9999.000000	  -39.996047
7	    0.000257	-9999.000000	   -9.999046
8	    0.000257	-9999.000000	  -19.998040
9	    0.000257	-9999.000000	  -19.998019
10	    0.000257	-9999.000000	   -9.999004
11	    0.000257	   -0.003377	    0.000045
12	    0.000257	-9999.000000	   -9.998918
13	    0.000257	   -0.003984	    0.000136
14	    0.000257	-9999.000000	   -9.998847
15	    0.000257	   -0.003930	    0.000173
16	    0.000280	   -0.007725	    0.000170
17	    0.000280	-9999.000000	  -19.997811
18	    0.000280	   -0.008080	    0.000181
19	    0.000280	   -0.004386	    0.000206
20	    0.000280	-9999.000000	   -9.998807
21	    0.000280	   -0.003729	    0.000202
22	    0.000280	   -0.005944	    0.000214
23	    0.000280	-9999.000000	   -9.998773
24	    0.000280	-9999.000000	   -9.998769
25	    0.000280	   -0.002961	    0.000234
26	    0.000280	   -0.003875	    0.000224
27	    0.000280	-9999.000000	   -9.998757
28	    0.000280	   -0.003746	    0.000238
29	    0.000280	   -0.004603	    0.000233
30	    0.000280	   -0.004070	    0.000242
31	    0.000280	-9999.000000	   -9.998755
32	    0.000280	   -0.004104	    0.000237
33	    0.000280	-9999.000000	   -9.998746
34	    0.000280	   -0.006499	    0.000239
Generation	Best	Worst	Average
0	    0.000209	-9999.000000	 -109.989618
1	    0.000209	-9999.000000	 -149.985307
2	    0.000209	-9999.000000	 -119.988199
3	    0.000209	-9999.000000	  -39.996121
4	    0.000209	-9999.000000	  -49.995119
5	    0.000209	-9999.000000	  -19.998090
6	    0.000209	-9999.000000	   -9.999051
7	    0.000209	-9999.000000	   -9.999036
