Generation	Best	Worst	Average
4	    0.000407	-9999.000000	 -129.987518
5	    0.000407	-9999.000000	 -149.985720
6	    0.000407	-9999.000000	  -99.990275
7	    0.000407	-9999.000000	  -19.998363
8	    0.000407	   -0.033844	   -0.000376
9	    0.000407	   -0.030463	   -0.000302
10	    0.000407	   -0.041138	   -0.000319
11	    0.000407	-9999.000000	   -9.999255
12	    0.000407	   -0.032955	   -0.000158
13	    0.000407	   -0.026547	    0.000066
14	    0.000407	   -0.033988	   -0.000322
15	    0.000407	   -0.030918	   -0.000042
16	    0.000407	   -0.026686	    0.000004
17	    0.000407	   -0.038614	   -0.000124
18	    0.000407	   -0.039896	   -0.000001
19	    0.000407	-9999.000000	   -9.999082
20	    0.000407	   -0.036732	   -0.000243
21	    0.000407	-9999.000000	   -9.999233
22	    0.000407	   -0.032566	   -0.000075
23	    0.000407	   -0.033604	   -0.000062
24	    0.000407	-9999.000000	  -39.995927
25	    0.000407	   -0.037386	   -0.000096
26	    0.000407	-9999.000000	  -19.998110
27	    0.000407	   -0.036554	   -0.000177
28	    0.000407	   -0.033940	   -0.000016
29	    0.000407	   -0.033051	    0.000085
30	    0.000407	   -0.030261	   -0.000020
31	    0.000407	-9999.000000	   -9.998922
32	    0.000407	   -0.031008	    0.000085
33	    0.000407	   -0.032401	    0.000123
34	    0.000407	   -0.031008	    0.000159
Generation	Best	Worst	Average
0	    0.000463	-9999.000000	 -179.985883
1	    0.000463	-9999.000000	 -189.982690
2	    0.000463	-9999.000000	  -69.994224
3	    0.000463	-9999.000000	 -149.985693
4	    0.000463	-9999.000000	 -129.987504
5	    0.000463	-9999.000000	  -49.995402
6	    0.000463	-9999.000000	  -69.993375
7	    0.000463	-9999.000000	  -19.998079
8	    0.000463	   -0.027718	   -0.000101
9	    0.000463	-9999.000000	   -9.999181
10	    0.000463	   -0.026466	    0.000001
11	    0.000463	   -0.029531	   -0.000171
12	    0.000463	-9999.000000	   -9.999332
13	    0.000463	   -0.025338	   -0.000075
14	    0.000463	-9999.000000	   -9.999046
15	    0.000463	   -0.031604	   -0.000032
16	    0.000463	   -0.031512	   -0.000501
17	    0.000463	   -0.031256	   -0.000123
18	    0.000463	-9999.000000	   -9.999154
19	    0.000463	   -0.035772	   -0.000097
20	    0.000463	   -0.032081	   -0.000175
21	    0.000463	-9999.000000	   -9.999233
22	    0.000463	   -0.030126	    0.000067
23	    0.000463	-9999.000000	   -9.998917
24	    0.000463	-9999.000000	   -9.998930
25	    0.000463	   -0.033401	   -0.000144
26	    0.000463	   -0.032003	    0.000060
27	    0.000463	   -0.032130	   -0.000020
28	    0.000463	   -0.036955	   -0.000176
29	    0.000463	   -0.033973	    0.000100
30	    0.000463	   -0.035028	    0.000081
31	    0.000463	   -0.034554	    0.000140
32	    0.000463	   -0.029803	    0.000111
33	    0.000463	   -0.030526	    0.000088
34	    0.000463	   -0.027747	    0.000023
