	Wealth	Return	Fitness	Realised Profit	MDD	NoOfTransactions	NoOfShortSellingTransactions
Run 0	500000.184338	  0.000037	  0.000035	  0.184338	  0.000008	2	0
Run 1	499999.121358	 -0.000176	 -0.000241	 -0.878642	  0.000328	7	0
Run 2	499998.927108	 -0.000215	 -0.000295	 -1.072892	  0.000400	9	0
Run 3	499999.993985	 -0.000001	 -0.000014	 -0.006015	  0.000063	4	0
Run 4	499998.388876	 -0.000322	 -0.000431	 -1.611124	  0.000546	10	0
Run 5	499998.927643	 -0.000214	 -0.000293	 -1.072357	  0.000391	7	0
Run 6	499998.633260	 -0.000273	 -0.000379	 -1.366740	  0.000526	6	0
Run 7	499999.165009	 -0.000167	 -0.000228	 -0.834991	  0.000305	7	0
Run 8	499998.897051	 -0.000221	 -0.000303	 -1.102949	  0.000412	7	0
Run 9	499998.111461	 -0.000378	 -0.000487	 -1.888539	  0.000547	9	0
