run	wealth	return	value	profit	mdd	transactions	short transactions
0	500000.571027	  0.000114	  0.000072	  0.571027	  0.000212	6	0
1	500000.200872	  0.000040	  0.000038	  0.200872	  0.000013	69	0
2	500000.112177	  0.000022	  0.000017	  0.112177	  0.000026	2	0
3	500000.354819	  0.000071	  0.000065	  0.354819	  0.000032	12	0
4	500000.780093	  0.000156	  0.000098	  0.780093	  0.000290	7	0
5	500000.418601	  0.000084	  0.000070	  0.418601	  0.000070	4	0
6	500000.720830	  0.000144	  0.000133	  0.720830	  0.000055	18	0
7	500000.450151	  0.000090	  0.000075	  0.450151	  0.000073	6	0
8	500001.469054	  0.000294	  0.000175	  1.469054	  0.000596	8	0
9	500000.765802	  0.000153	  0.000133	  0.765802	  0.000100	4	0
