run	wealth	return	value	profit	mdd	transactions	short transactions
0	500000.107951	  0.000022	  0.000010	  0.107951	  0.000056	3	0
1	499999.945040	 -0.000011	 -0.000015	 -0.054960	  0.000022	27	0
2	499999.990938	 -0.000002	 -0.000002	 -0.009062	  0.000002	2	0
3	500000.049606	  0.000010	 -0.000002	  0.049606	  0.000061	9	0
4	500000.233049	  0.000047	  0.000031	  0.233049	  0.000076	4	0
5	500000.019576	  0.000004	 -0.000007	  0.019576	  0.000056	1	0
6	500000.024527	  0.000005	 -0.000010	  0.024527	  0.000076	7	0
7	500000.021949	  0.000004	 -0.000007	  0.021949	  0.000058	1	0
8	500000.151878	  0.000030	  0.000015	  0.151878	  0.000078	3	0
9	500000.010930	  0.000002	 -0.000014	  0.010930	  0.000080	1	0
