run	wealth	return	value	profit	mdd	transactions	short transactions
0	499999.806888	 -0.000039	 -0.000057	 -0.193112	  0.000093	7	0
1	499999.947573	 -0.000010	 -0.000014	 -0.052427	  0.000017	1	0
2	499999.338179	 -0.000132	 -0.000176	 -0.661821	  0.000217	3	0
3	500000.318662	  0.000064	  0.000058	  0.318662	  0.000028	20	0
4	500000.657565	  0.000132	  0.000119	  0.657565	  0.000062	59	0
5	500001.775152	  0.000355	  0.000314	  1.775152	  0.000207	44	0
6	500001.661671	  0.000332	  0.000292	  1.661671	  0.000204	46	0
7	500000.324754	  0.000065	  0.000059	  0.324754	  0.000032	19	0
8	499999.706174	 -0.000059	 -0.000081	 -0.293826	  0.000112	8	0
9	500002.060559	  0.000412	  0.000372	  2.060559	  0.000201	34	0
