Generation	Best	Worst	Average
0	    0.002847	-9999.000000	  -89.990719
1	    0.003758	-9999.000000	  -79.991219
2	    0.003758	   -0.000092	    0.001233
3	    0.003758	   -0.000407	    0.001475
4	    0.003865	   -0.000039	    0.001637
5	    0.003932	   -0.000047	    0.001764
6	    0.004143	-9999.000000	  -19.996004
7	    0.004143	   -0.000181	    0.002245
8	    0.004182	   -0.000041	    0.002686
9	    0.004182	   -0.000029	    0.003191
10	    0.004182	   -0.000017	    0.003425
11	    0.004182	   -0.000182	    0.003546
12	    0.004325	-9999.000000	  -19.994371
13	    0.004518	   -0.000113	    0.003683
14	    0.004562	-9999.000000	  -19.994252
15	    0.004562	   -0.000031	    0.003749
16	    0.004562	-9999.000000	   -9.995082
17	    0.004562	   -0.000048	    0.003982
18	    0.004589	-9999.000000	   -9.994936
19	    0.004589	   -0.000081	    0.004093
20	    0.004589	   -0.000195	    0.004115
21	    0.004589	   -0.000048	    0.004139
22	    0.004589	   -0.000154	    0.004232
23	    0.004589	   -0.000043	    0.004208
24	    0.004589	    0.000000	    0.004178
25	    0.004589	   -0.000104	    0.004256
26	    0.004589	   -0.000049	    0.004319
27	    0.004589	   -0.000108	    0.004312
28	    0.004634	-9999.000000	   -9.994815
29	    0.004634	-9999.000000	   -9.994708
30	    0.004634	   -0.000114	    0.004308
31	    0.004634	-9999.000000	   -9.994713
32	    0.004634	    0.000000	    0.004241
33	    0.004634	   -0.000116	    0.004226
34	    0.004634	   -0.000035	    0.004345
Generation	Best	Worst	Average
0	    0.003727	-9999.000000	 -139.985691
1	    0.003727	-9999.000000	  -59.993197
2	    0.003932	-9999.000000	   -9.997728
3	    0.003932	-9999.000000	   -9.997436
4	    0.003932	-9999.000000	   -9.997305
5	    0.003932	-9999.000000	   -9.997203
6	    0.003932	-9999.000000	   -9.997033
7	    0.003932	   -0.000031	    0.002177
8	    0.003932	   -0.000190	    0.002362
9	    0.003932	   -0.000196	    0.002502
10	    0.003932	   -0.000212	    0.002614
11	    0.003932	   -0.000132	    0.002684
12	    0.003932	   -0.000121	    0.002817
13	    0.003932	-9999.000000	   -9.996217
14	    0.003932	   -0.000113	    0.002831
15	    0.003932	   -0.000160	    0.002828
16	    0.003932	   -0.000033	    0.002899
17	    0.003932	-9999.000000	   -9.996082
18	    0.003932	   -0.000197	    0.002901
19	    0.003932	   -0.000046	    0.002942
20	    0.003932	   -0.000035	    0.002988
21	    0.003932	   -0.000205	    0.002983
22	    0.003932	   -0.000141	    0.002992
23	    0.003932	-9999.000000	   -9.996002
24	    0.003932	   -0.000147	    0.003006
25	    0.003932	   -0.000035	    0.003027
26	    0.003932	   -0.000044	    0.003021
27	    0.003932	   -0.000147	    0.003072
28	    0.003932	   -0.000164	    0.003041
29	    0.003932	   -0.000080	    0.003056
30	    0.003932	   -0.000144	    0.003032
31	    0.003932	   -0.000117	    0.003070
32	    0.003932	   -0.000093	    0.003057
33	    0.003932	   -0.000209	    0.003080
34	    0.003932	   -0.000036	    0.003081
Generation	Best	Worst	Average
0	    0.003433	-9999.000000	 -119.987735
1	    0.004473	-9999.000000	  -69.992259
2	    0.004473	-9999.000000	  -19.996793
3	    0.004473	   -0.000072	    0.001460
4	    0.004473	-9999.000000	   -9.997382
5	    0.004473	-9999.000000	   -9.997243
6	    0.004473	   -0.000039	    0.001967
7	    0.004473	   -0.000049	    0.002209
8	    0.004473	   -0.000122	    0.002453
9	    0.004473	-9999.000000	   -9.996274
10	    0.004478	-9999.000000	   -9.995825
11	    0.004478	-9999.000000	   -9.995479
12	    0.004518	   -0.000026	    0.003692
13	    0.004518	   -0.000095	    0.003890
14	    0.004518	-9999.000000	   -9.995106
15	    0.004518	   -0.000147	    0.003953
16	    0.004518	   -0.000025	    0.004076
17	    0.004518	   -0.000048	    0.004025
18	    0.004518	-9999.000000	   -9.994881
19	    0.004518	   -0.000154	    0.004135
20	    0.004589	   -0.000048	    0.004136
21	    0.004589	   -0.000034	    0.004066
22	    0.004589	-9999.000000	   -9.994854
23	    0.004607	-9999.000000	  -29.992891
24	    0.004607	   -0.000035	    0.004118
25	    0.004607	-9999.000000	   -9.994804
26	    0.004607	-9999.000000	   -9.994797
27	    0.004607	-9999.000000	   -9.994767
28	    0.004607	   -0.000128	    0.004226
29	    0.004607	-9999.000000	   -9.994740
30	    0.004607	-9999.000000	   -9.994742
31	    0.004607	   -0.000028	    0.004302
32	    0.004607	   -0.000099	    0.004272
33	    0.004607	   -0.000015	    0.004239
34	    0.004607	-9999.000000	   -9.994746
Generation	Best	Worst	Average
0	    0.003794	-9999.000000	 -149.984694
1	    0.003940	-9999.000000	  -39.995131
2	    0.003940	   -0.000094	    0.001309
3	    0.004182	   -0.000015	    0.001549
4	    0.004182	   -0.000106	    0.001704
5	    0.004182	-9999.000000	   -9.997270
6	    0.004182	   -0.000056	    0.001771
7	    0.004182	   -0.000131	    0.001766
8	    0.004182	-9999.000000	   -9.997089
9	    0.004182	   -0.000165	    0.002121
10	    0.004182	   -0.000190	    0.002273
11	    0.004182	   -0.000172	    0.002399
12	    0.004182	   -0.000032	    0.002529
13	    0.004182	   -0.000044	    0.002695
14	    0.004182	   -0.000122	    0.002736
15	    0.004182	   -0.000074	    0.002728
16	    0.004182	   -0.000186	    0.002789
17	    0.004182	   -0.000110	    0.002781
18	    0.004182	   -0.000092	    0.002884
19	    0.004182	   -0.000005	    0.002905
20	    0.004182	   -0.000034	    0.002904
21	    0.004182	   -0.000204	    0.002922
22	    0.004182	   -0.000206	    0.002933
23	    0.004182	   -0.000205	    0.002955
24	    0.004182	   -0.000203	    0.003022
25	    0.004182	   -0.000080	    0.003006
26	    0.004182	   -0.000116	    0.003053
27	    0.004182	   -0.000205	    0.003090
28	    0.004182	   -0.000147	    0.003100
29	    0.004182	   -0.000015	    0.003099
30	    0.004182	   -0.000047	    0.003123
31	    0.004182	   -0.000207	    0.003113
32	    0.004182	   -0.000207	    0.003123
33	    0.004182	   -0.000207	    0.003145
34	    0.004182	   -0.000207	    0.003100
Generation	Best	Worst	Average
0	    0.003047	-9999.000000	 -249.974700
1	    0.003854	-9999.000000	  -39.995251
2	    0.003854	-9999.000000	  -29.995818
3	    0.003854	   -0.000122	    0.001431
4	    0.003854	-9999.000000	  -19.996437
5	    0.003854	   -0.000039	    0.001652
6	    0.003854	-9999.000000	  -19.996341
7	    0.003854	-9999.000000	   -9.997233
8	    0.003854	-9999.000000	  -19.996190
9	    0.003854	   -0.000040	    0.001913
10	    0.003854	-9999.000000	  -29.995007
11	    0.003854	-9999.000000	  -19.995755
12	    0.003854	-9999.000000	   -9.996519
13	    0.003854	   -0.000137	    0.002604
14	    0.003854	-9999.000000	   -9.996352
15	    0.003854	-9999.000000	   -9.996342
16	    0.003854	   -0.000031	    0.002700
17	    0.003854	   -0.000185	    0.002711
18	    0.003854	   -0.000139	    0.002765
19	    0.003854	-9999.000000	  -29.994156
20	    0.003854	-9999.000000	   -9.996169
21	    0.003854	   -0.000088	    0.002857
22	    0.003854	   -0.000073	    0.002850
23	    0.003854	-9999.000000	  -19.995194
24	    0.003854	-9999.000000	   -9.996134
25	    0.003854	   -0.000199	    0.002822
26	    0.003854	   -0.000209	    0.002781
27	    0.003854	   -0.000032	    0.002697
28	    0.003854	    0.000000	    0.002788
29	    0.003854	   -0.000024	    0.002916
30	    0.003854	-9999.000000	   -9.995809
31	    0.003854	   -0.000033	    0.003134
32	    0.003854	    0.000000	    0.003135
33	    0.003854	-9999.000000	   -9.995819
34	    0.004083	    0.000000	    0.003256
Generation	Best	Worst	Average
0	    0.002938	-9999.000000	 -159.983674
1	    0.003678	-9999.000000	   -9.998190
2	    0.004143	   -0.000033	    0.001313
3	    0.004143	   -0.000115	    0.001572
4	    0.004330	   -0.000113	    0.001743
5	    0.004491	   -0.000034	    0.001821
6	    0.004491	   -0.000040	    0.002068
7	    0.004491	   -0.000102	    0.002391
8	    0.004518	   -0.000043	    0.002858
9	    0.004518	-9999.000000	  -19.994620
10	    0.004518	   -0.000043	    0.003700
11	    0.004518	   -0.000016	    0.003860
12	    0.004518	-9999.000000	   -9.995059
13	    0.004518	-9999.000000	  -29.992984
14	    0.004518	   -0.000026	    0.004101
15	    0.004568	   -0.000153	    0.004059
16	    0.004589	   -0.000072	    0.004127
17	    0.004589	   -0.000003	    0.004125
18	    0.004589	-9999.000000	   -9.994920
19	    0.004607	   -0.000034	    0.004134
20	    0.004607	-9999.000000	  -19.993905
21	    0.004607	   -0.000017	    0.004174
22	    0.004607	   -0.000034	    0.004262
23	    0.004607	   -0.000131	    0.004149
24	    0.004607	   -0.000035	    0.004282
25	    0.004607	-9999.000000	   -9.994814
26	    0.004607	-9999.000000	  -19.993830
27	    0.004607	   -0.000035	    0.004250
28	    0.004607	   -0.000035	    0.004271
29	    0.004607	   -0.000038	    0.004307
30	    0.004607	   -0.000159	    0.004283
31	    0.004607	   -0.000020	    0.004273
32	    0.004607	   -0.000021	    0.004243
33	    0.004607	   -0.000038	    0.004287
34	    0.004607	   -0.000035	    0.004294
Generation	Best	Worst	Average
0	    0.003024	-9999.000000	 -159.983681
1	    0.003208	   -0.000137	    0.000862
2	    0.003541	-9999.000000	  -19.996735
3	    0.004174	   -0.000134	    0.001523
4	    0.004174	   -0.000045	    0.001644
5	    0.004174	-9999.000000	   -9.997301
6	    0.004174	-9999.000000	   -9.997231
7	    0.004174	   -0.000179	    0.001828
8	    0.004174	   -0.000039	    0.001856
9	    0.004174	   -0.000145	    0.001888
10	    0.004174	-9999.000000	   -9.997002
11	    0.004174	-9999.000000	   -9.996935
12	    0.004174	-9999.000000	  -19.995785
13	    0.004174	-9999.000000	   -9.996573
14	    0.004174	-9999.000000	   -9.996379
15	    0.004174	-9999.000000	   -9.996337
16	    0.004174	   -0.000033	    0.002762
17	    0.004174	   -0.000003	    0.002753
18	    0.004174	-9999.000000	   -9.996258
