	Wealth	Return	Fitness	Realised Profit	MDD	NoOfTransactions	NoOfShortSellingTransactions
Run 0	499994.217691	 -0.001156	 -0.001420	 -5.782309	  0.001319	17	0
Run 1	499996.695514	 -0.000661	 -0.000818	 -3.304486	  0.000787	17	0
Run 2	499994.253512	 -0.001149	 -0.001411	 -5.746488	  0.001311	17	0
Run 3	499994.781067	 -0.001044	 -0.001282	 -5.218933	  0.001191	17	0
Run 4	499996.567793	 -0.000686	 -0.000850	 -3.432207	  0.000817	17	0
Run 5	499994.253512	 -0.001149	 -0.001411	 -5.746488	  0.001311	17	0
Run 6	499996.485719	 -0.000703	 -0.000870	 -3.514281	  0.000837	17	0
Run 7	499994.781067	 -0.001044	 -0.001282	 -5.218933	  0.001191	17	0
Run 8	499987.269212	 -0.002546	 -0.003200	-12.730788	  0.003271	8	0
Run 9	499994.217691	 -0.001156	 -0.001420	 -5.782309	  0.001319	17	0
