run	wealth	return	value	profit	mdd	transactions	short transactions
0	499999.584502	 -0.000083	 -0.000109	 -0.415498	  0.000132	6	0
1	499999.909011	 -0.000018	 -0.000022	 -0.090989	  0.000021	1	0
2	499999.903892	 -0.000019	 -0.000025	 -0.096108	  0.000028	87	0
3	499999.837681	 -0.000032	 -0.000041	 -0.162319	  0.000043	7	0
4	500000.000253	  0.000000	 -0.000000	  0.000253	  0.000001	2	0
5	499999.987618	 -0.000002	 -0.000004	 -0.012382	  0.000007	10	0
6	500000.047143	  0.000009	  0.000009	  0.047143	  0.000001	2	0
7	499999.898303	 -0.000020	 -0.000032	 -0.101697	  0.000057	15	0
8	500000.044704	  0.000009	 -0.000016	  0.044704	  0.000125	12	0
9	500000.009371	  0.000002	 -0.000006	  0.009371	  0.000037	5	0
