run	wealth	return	value	profit	mdd	transactions	short transactions
0	500000.235665	  0.000047	 -0.000017	  0.235665	  0.000319	3	0
1	500000.103649	  0.000021	  0.000018	  0.103649	  0.000011	22	0
2	500000.011847	  0.000002	  0.000000	  0.011847	  0.000010	6	0
3	500000.159231	  0.000032	  0.000026	  0.159231	  0.000028	5	0
4	500000.408390	  0.000082	  0.000064	  0.408390	  0.000086	30	0
5	500000.021177	  0.000004	  0.000004	  0.021177	  0.000002	17	0
6	500000.058713	  0.000012	  0.000011	  0.058713	  0.000006	15	0
7	500000.001012	  0.000000	 -0.000020	  0.001012	  0.000099	153	0
8	500001.988004	  0.000398	  0.000382	  1.988004	  0.000077	9	0
9	499999.980054	 -0.000004	 -0.000008	 -0.019946	  0.000021	4	0
