	Wealth	Return	Fitness	Realised Profit	MDD	NoOfTransactions	NoOfShortSellingTransactions
Run 0	499996.810174	 -0.000638	 -0.000996	 -3.189826	  0.001791	78	0
Run 1	499996.744445	 -0.000651	 -0.001017	 -3.255555	  0.001830	78	0
Run 2	499996.810174	 -0.000638	 -0.000996	 -3.189826	  0.001791	78	0
Run 3	499996.760009	 -0.000648	 -0.001011	 -3.239991	  0.001813	77	0
Run 4	499996.963746	 -0.000607	 -0.000947	 -3.036254	  0.001699	77	0
Run 5	499996.825927	 -0.000635	 -0.000990	 -3.174073	  0.001774	77	0
Run 6	499996.958623	 -0.000608	 -0.000947	 -3.041377	  0.001691	75	0
Run 7	499996.825927	 -0.000635	 -0.000990	 -3.174073	  0.001774	77	0
Run 8	499996.892248	 -0.000622	 -0.000971	 -3.107752	  0.001745	78	0
Run 9	499996.744445	 -0.000651	 -0.001017	 -3.255555	  0.001830	78	0
