run	wealth	return	value	profit	mdd	transactions	short transactions
0	499998.937165	 -0.000213	 -0.000400	 -1.062835	  0.000938	64	0
1	499998.379439	 -0.000324	 -0.000463	 -1.620561	  0.000695	51	0
2	499998.363786	 -0.000327	 -0.000570	 -1.636214	  0.001213	49	0
3	499997.503895	 -0.000499	 -0.000816	 -2.496105	  0.001583	57	0
4	500000.926262	  0.000185	  0.000054	  0.926262	  0.000654	8	0
5	500000.145897	  0.000029	 -0.000090	  0.145897	  0.000598	38	0
6	500002.469170	  0.000494	  0.000405	  2.469170	  0.000442	8	0
7	499998.950845	 -0.000210	 -0.000509	 -1.049155	  0.001494	52	0
8	499998.828574	 -0.000234	 -0.000446	 -1.171426	  0.001059	64	0
9	499999.448789	 -0.000110	 -0.000325	 -0.551211	  0.001072	21	0
