,config name,data file,mdd,no_of_short_selling_transactions,no_of_transactions,noop,realised_profit,ret,u_buy,u_sell,value,wealth
low inertia weight data/fx-spot_EUR_GBP_10min_201306.txt:fx-spot_EUR_GBP_10min_201306:02:20:21:28,low inertia weight,data/fx-spot_EUR_GBP_10min_201306.txt:fx-spot_EUR_GBP_10min_201306:02:20:21:28,0.0006075448530272675,0.0,34.7,2033.4,-0.3960630806512199,-7.921261613024399e-05,0.0,0.0,-0.0002007215867356975,499999.6039369193
low inertia weight data/fx-spot_EUR_GBP_10min_201308.txt:fx-spot_EUR_GBP_10min_201308:0:20:21:29,low inertia weight,data/fx-spot_EUR_GBP_10min_201308.txt:fx-spot_EUR_GBP_10min_201308:0:20:21:29,0.00030472975260926316,0.0,19.1,2322.6,-0.8093088972964324,-0.00016186177945928646,0.0,0.0,-0.00022280772998113912,499999.19069110276
medium high inertia weight data/fx-spot_EUR_GBP_10min_201306.txt:fx-spot_EUR_GBP_10min_201306:02:20:21:28,medium high inertia weight,data/fx-spot_EUR_GBP_10min_201306.txt:fx-spot_EUR_GBP_10min_201306:02:20:21:28,0.0006998952038439709,0.0,32.1,2037.8,0.46534353848546745,9.30687076970935e-05,0.0,0.0,-4.691033307170068e-05,500000.4653435385
medium high inertia weight data/fx-spot_EUR_GBP_10min_201308.txt:fx-spot_EUR_GBP_10min_201308:0:20:21:29,medium high inertia weight,data/fx-spot_EUR_GBP_10min_201308.txt:fx-spot_EUR_GBP_10min_201308:0:20:21:29,0.0003216580648814089,0.0,23.8,2316.0,-1.1031031785416416,-0.00022062063570832836,0.0,0.0,-0.0002849522486846101,499998.89689682145
high inertia weight data/fx-spot_EUR_GBP_10min_201306.txt:fx-spot_EUR_GBP_10min_201306:02:20:21:28,high inertia weight,data/fx-spot_EUR_GBP_10min_201306.txt:fx-spot_EUR_GBP_10min_201306:02:20:21:28,0.0005768385185285544,0.0,34.7,2034.7,0.4344092871178873,8.688185742357745e-05,0.0,0.0,-2.8485846282133434e-05,500000.4344092872
high inertia weight data/fx-spot_EUR_GBP_10min_201308.txt:fx-spot_EUR_GBP_10min_201308:0:20:21:29,high inertia weight,data/fx-spot_EUR_GBP_10min_201308.txt:fx-spot_EUR_GBP_10min_201308:0:20:21:29,0.000301166545522469,0.0,19.4,2318.1,-0.7607220299367328,-0.00015214440598734655,0.0,0.0,-0.00021237771509184032,499999.23927797005
lowest memory weight data/fx-spot_EUR_GBP_10min_201306.txt:fx-spot_EUR_GBP_10min_201306:02:20:21:28,lowest memory weight,data/fx-spot_EUR_GBP_10min_201306.txt:fx-spot_EUR_GBP_10min_201306:02:20:21:28,0.0005809155850153909,0.0,46.0,2022.8,-0.7021301125001628,-0.00014042602250003257,0.0,0.0,-0.0002566091395031107,499999.29786988755
lowest memory weight data/fx-spot_EUR_GBP_10min_201308.txt:fx-spot_EUR_GBP_10min_201308:0:20:21:29,lowest memory weight,data/fx-spot_EUR_GBP_10min_201308.txt:fx-spot_EUR_GBP_10min_201308:0:20:21:29,0.00028841549854979133,0.0,21.6,2318.6,-0.9750569109630305,-0.0001950113821926061,0.0,0.0,-0.0002526944819025644,499999.024943089
low memory weight data/fx-spot_EUR_GBP_10min_201306.txt:fx-spot_EUR_GBP_10min_201306:02:20:21:28,low memory weight,data/fx-spot_EUR_GBP_10min_201306.txt:fx-spot_EUR_GBP_10min_201306:02:20:21:28,0.0006167290980074018,0.0,25.2,2045.2,0.5985623720800504,0.00011971247441601007,0.0,0.0,-3.63334518547029e-06,500000.5985623721
low memory weight data/fx-spot_EUR_GBP_10min_201308.txt:fx-spot_EUR_GBP_10min_201308:0:20:21:29,low memory weight,data/fx-spot_EUR_GBP_10min_201308.txt:fx-spot_EUR_GBP_10min_201308:0:20:21:29,0.0003038560616832419,0.0,18.9,2323.5,-0.946438150992617,-0.00018928763019852342,0.0,0.0,-0.0002500588425351718,499999.05356184894
medium high memory weight data/fx-spot_EUR_GBP_10min_201306.txt:fx-spot_EUR_GBP_10min_201306:02:20:21:28,medium high memory weight,data/fx-spot_EUR_GBP_10min_201306.txt:fx-spot_EUR_GBP_10min_201306:02:20:21:28,0.000842996559420181,0.0,46.6,2019.6,0.756592376739718,0.00015131847534794357,0.0,0.0,-1.7280836536092598e-05,500000.75659237674
medium high memory weight data/fx-spot_EUR_GBP_10min_201308.txt:fx-spot_EUR_GBP_10min_201308:0:20:21:29,medium high memory weight,data/fx-spot_EUR_GBP_10min_201308.txt:fx-spot_EUR_GBP_10min_201308:0:20:21:29,0.0002536015468790845,0.0,22.6,2311.9,-0.8078826851793565,-0.0001615765370358713,0.0,0.0,-0.0002122968464116882,499999.1921173148
