run	wealth	return	value	profit	mdd	transactions	short transactions
0	500000.182321	  0.000036	  0.000012	  0.182321	  0.000122	14	0
1	500000.076695	  0.000015	  0.000010	  0.076695	  0.000029	4	0
2	500000.000995	  0.000000	  0.000000	  0.000995	  0.000000	2	0
3	500000.025565	  0.000005	  0.000003	  0.025565	  0.000010	4	0
4	500000.005903	  0.000001	  0.000001	  0.005903	  0.000002	4	0
5	500000.233621	  0.000047	  0.000040	  0.233621	  0.000032	8	0
6	500000.002357	  0.000000	  0.000000	  0.002357	  0.000001	9	0
7	500000.176033	  0.000035	 -0.000018	  0.176033	  0.000264	9	0
8	500000.179846	  0.000036	  0.000021	  0.179846	  0.000076	12	0
9	500000.235999	  0.000047	  0.000037	  0.235999	  0.000050	8	0
